NOME_PRODUTO;PRINCIPIO_ATIVO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO
KIT RINOSPRAY;;;HERBARIUM LABORATORIO BOTANICO LTDA
MARESIS HT;CLORETO DE SODIO;DESCONGESTIONANTES NASAIS TOPICOS;FARMOQUIMICA S/A
QUESTRAN LIGHT;COLESTIRAMINA;ANTILIPEMICOS;MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA
ALCOOL 70% FARMAX;;;FARMAX S.A.
APEVITIN BC;CLORIDRATO DE CIPROEPTADINA, CLORIDRATO DE TIAMINA, RIBOFLAVINA-5-FOSFATO DE SODIO, CLORIDRATO DE PIRIDOXINA, NICOTINAMIDA, ACIDO ASCORBICO;ESTIMULANTES DO APETITE;EMS S/A
CLORTALIDONA;CLORTALIDONA;DIURETICOS SIMPLES;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
FLAVONID;DIOSMINA, FLAVONOIDES EXPRESSOS EM HESPERIDINA;ANTIVARICOSOS DE ACAO SISTEMICA;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
MARESIS;;;FARMOQUIMICA S/A
NARCEF;CLORIDRATO DE NARATRIPTANA;ANALGESICOS CONTRA ENXAQUECA;GERMED FARMACEUTICA LTDA
AGUA BORICADA 3%;;;LABORATORIO INDUSTRIAL FARMACEUTICO LIFAR LTDA
OLEO DE RICINO UNIPHAR;;;J.R.D. INDUSTRIA FARMACEUTICA LTDA.
RIOHEX 4%;;;RIOQUIMICA S.A.
CLORIDRATO DE METILFENIDATO;CLORIDRATO DE METILFENIDATO;PSICOANALEPTICOS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
DOSTINEX;CABERGOLINA;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA;PFIZER BRASIL LTDA
SALAMARGO ADV;;;LABORATORIO TAYUYNA LTDA
CETOCONAZOL+DIPROPIONATO DE BETAMETASONA+SULFATO DE NEOMICINA;CETOCONAZOL, DIPROPIONATO DE BETAMETASONA, SULFATO DE NEOMICINA;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;CIMED INDUSTRIA S.A
FLUCONAZOL;FLUCONAZOL;ANTIMICOTICOS SISTEMICOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
NIMESULIDA;NIMESULIDA;ANTINFLAMATORIOS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
ALCOOL IODADO;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
CARBONATO DE CALCIO;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
CARLIT;CARBONATO DE LITIO;ANTIDEPRESSIVOS;SUPERA FARMA LABORATORIOS S.A
CEBRALAT;CILOSTAZOL;ANTITROMBOTICO;LIBBS FARMACEUTICA LTDA
DICLORIDRATO DE FLUNARIZINA;DICLORIDRATO DE FLUNARIZINA;VASODILATADORES;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
LANSOPRAZOL +CLARITROMICINA +AMOXICILINA;LANSOPRAZOL, CLARITROMICINA, AMOXICILINA TRI-hIDRATADA;ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS;CIFARMA CIENTIFICA FARMACEUTICA LTDA
AQUARELA;ARIPIPRAZOL;ANTIPSICOTICOS;ACHE LABORATORIOS FARMACEUTICOS S.A
COCICHIMIL;COLCHICINA;ANTINFLAMATORIOS ANTIREUMATICOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
LEVONORGESTREL;LEVONORGESTREL;ANTICONCEPCIONAIS;CIFARMA CIENTIFICA FARMACEUTICA LTDA
VIDYN D3;COLECALCIFEROL;ANALOGO SINTETICO DA VITAMINA D;EMS S/A
GAMAX;BORAGO OFFICINALIS L.;;INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A
VIOLETA GENCIANA 1%;;;AMAZONAS COMERCIO E INDUSTRIA DE PRODUTOS QUIMICOS LTDA
BENDY;CLORIDRATO DE BENDAMUSTINA;ANTINEOPLASICOS CITOTOXICOS;NATCOFARMA DO BRASIL LTDA
BESILATO DE ANLODIPINO;BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES;ACHE LABORATORIOS FARMACEUTICOS S.A
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;CETOCONAZOL, DIPROPIONATO DE BETAMETASONA;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;PRATI DONADUZZI & CIA LTDA
NISTATINA;NISTATINA;ANTIMICOTICO;PRATI DONADUZZI & CIA LTDA
HEMIFUMARATO DE QUETIAPINA;hemifumarato de quetiapina;ANTIPSICOTICOS;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
MELOXICAM;MELOXICAM;ANTINFLAMATORIOS;SANOFI MEDLEY FARMACEUTICA LTDA.
OLEO MINERAL EVER CARE;;;FARMAX S.A.
ALLEXODUOB;BILASTINA;ANTI-HISTAMINICOS SISTEMICOS;EMS S/A
HEMIFUMARATO DE BISOPROLOL;hemiFUMARATO DE BISOPROLOL;BETABLOQUEADORES SIMPLES;SANOFI MEDLEY FARMACEUTICA LTDA.
LIQUIDO DE DAKIN;;;RIOQUIMICA S.A.
