NOME_PRODUTO;PRINCIPIO_ATIVO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO
ALENDRONATO DE SODIO;alendronato de sodio;SUPRESSORES DA REABSORCAO OSSEA;NOVARTIS BIOCIENCIAS S.A
SULFATO DE NEOMICINA + BACITRACINA ZINCICA;SULFATO DE NEOMICINA, BACITRACINA ZINCICA;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;EMS S/A
ALLEXOFEDRIN PEDIATRICO;CLORIDRATO DE FEXOFENADINA;ANTI-HISTAMINICOS PARA USO SISTEMICO;EMS S/A
BICARBONATO DE SODIO;;;HEMAFARMA COM. E IND. FARM. LTDA
DANYELZA;NAXITAMABE;ANTINEOPLASICO;ADIUM S.A.
DICLORIDRATO DE LEVOCETIRIZINA;DICLORIDRATO DE LEVOCETIRIZINA;ANTIALERGICOS;EMS S/A
ESBRIET;PIRFENIDONA;OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO;PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.
KAMPPI;CLORIDRATO DE MEMANTINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;BIOLAB SANUS FARMACEUTICA LTDA
SUMAXPRO;SUCCINATO DE SUMATRIPTANA, NAPROXENO SODICO;ANALGESICOS CONTRA ENXAQUECA;LIBBS FARMACEUTICA LTDA
FITOCALM;Passiflora incarnata L.;ANSIOLITICOS SIMPLES;LABORATORIO CATARINENSE LTDA
GUAIFENESINA;GUAIFENESINA;EXPECTORANTES BALSAMICOS E MUCOLITICO;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
HEDERAFLUX;HEDERA HELIX L.;EXPECTORANTES;KLEY HERTZ FARMACEUTICA S.A
IMFINZI;DURVALUMABE;;ASTRAZENECA DO BRASIL LTDA
MIRTAZAPINA;MIRTAZAPINA;ANTIDEPRESSIVOS;LABORATORIO GLOBO SA
ZIGABA;GABAPENTINA;ANTICONVULSIVANTES;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
BUSSULFANO;BUSSULFANO;ANTINEOPLASICOS CITOTOXICOS;ACCORD FARMACEUTICA LTDA
SINUSTRAT INFANTIL;;;AVERT LABORATORIOS LTDA
TOBRAMICINA;TOBRAMICINA;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
FLOGO-ROSA;CLORIDRATO DE BENZIDAMINA;ANTINFLAMATORIOS;ACHE LABORATORIOS FARMACEUTICOS S.A
SUZOPA;MALATO DE SUNITINIBE;AGENTES ANTINEOPLASICOS;DR. REDDYS FARMACEUTICA DO BRASIL LTDA
AGUA PARA INJETAVEIS;AGUA PARA INJETAVEIS;DILUENTES E VEICULOS DE MEDICAMENTOS;SAMTEC BIOTECNOLOGIA LIMITADA
AZUL DE METILENO 1%;;;INDUSTRIA FARMACEUTICA SANTA RITA DE CASSIA LTDA - EPP
DIAZEPAM;DIAZEPAM;ANSIOLITICOS SIMPLES;HIPOLABOR FARMACEUTICA LTDA
IODOPOVIDONA OPHTHALMOS;;;OPHTHALMOS LTDA
RIVASTIGMINA;RIVASTIGMINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;ACHE LABORATORIOS FARMACEUTICOS S.A
TINTURA DE IODO 2%;;;RIOQUIMICA S.A.
CALOTRAT SOLUCAO;;;KLEY HERTZ FARMACEUTICA S.A
GAS OXIGENIO MEDICINAL MLX;OXIGENIO;;MLX COMERCIO DE GASES LTDA ME
HISCONGEX;MALEATO DE BRONFENIRAMINA, CLORIDRATO DE FENILEFRINA;PRODUTO P.TERAPIA SINTOMATICA DA GRIPE;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
KOIDE D;BETAMETASONA, MALEATO DE DEXCLORFENIRAMINA;ANTI-HISTAMINICOS SISTEMICOS;EUROFARMA LABORATORIOS S.A.
ORLIBE;ORLISTATE;MODULADORES DO METABOLISMO E DA DIGESTAO;PRATI DONADUZZI & CIA LTDA
SORANEL;;;DAREL INDUSTRIAS QUIMICO FARMACEUTICO LTDA-ME
VAXIGRIP e;Cepa influenza tipo A (H1N1), Cepa influenza tipo A (H3N2), CEPA INFLUENZA TIPO B;VACINAS;SANOFI MEDLEY FARMACEUTICA LTDA.
CETOPROFENO;CETOPROFENO;ANTINFLAMATORIOS ANTIREUMATICOS;LABORATORIO TEUTO BRASILEIRO S/A
MEPISV;CLORIDRATO DE MEPIVACAINA;ANESTESICOS LOCAIS;DFL INDUSTRIA E COMERCIO S/A
TIVEFREE;LATANOPROSTA;PROSTAGLANDINAS;ACHE LABORATORIOS FARMACEUTICOS S.A
ACETILCISTEINA;ACETILCISTEINA;EXPECTORANTES BALSAMICOS E MUCOLITICO;GEOLAB INDUSTRIA FARMACEUTICA S/A
AUBAGIO;teriflunomida;IMUNOMODULADOR;SANOFI MEDLEY FARMACEUTICA LTDA.
NISTATINA + OXIDO DE ZINCO;NISTATINA, OXIDO DE ZINCO;EMOLIENTES E PROTETORES DA PELE E MUCOSAS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
DABAZ;SULFATO DE VINCRISTINA;ANTINEOPLASICO;ACCORD FARMACEUTICA LTDA
HALLIS;apixabana;AGENTES ANTITROMBOTICOS;NATCOFARMA DO BRASIL LTDA
SOANZA XR;DICLORIDRATO DE TRIMETAZIDINA;ANTIANGINOSOS E VASODILATADORES;ACHE LABORATORIOS FARMACEUTICOS S.A
oLEO MINERAL;;;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
APLAUSE;ACTAEA RACEMOSA L.;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA;MARJAN INDUSTRIA E COMERCIO LTDA
LADIZAC;DASATINIBE;ANTINEOPLASICO;DR. REDDYS FARMACEUTICA DO BRASIL LTDA
ATENOLOL;ATENOLOL;BETABLOQUEADORES SIMPLES;AUROBINDO PHARMA INDUSTRIA FARMACEUTICA LIMITADA
LIBIAM;TIBOLONA;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA;LIBBS FARMACEUTICA LTDA
VASELINA LIQUIDA UNIPHAR;;;J.R.D. INDUSTRIA FARMACEUTICA LTDA.
CERTICAN;EVEROLIMO;AGENTE IMUNOSUPRESSOR;NOVARTIS BIOCIENCIAS S.A
TINTURA DE IODO 2% ADV;;;LABORATORIO TAYUYNA LTDA
MICEND;VORICONAZOL;ANTI-FUNGICOS;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA
BROMIDRATO DE CITALOPRAM;BROMIDRATO DE CITALOPRAM;ANTIDEPRESSIVOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
HEMIFUMARATO DE BISOPROLOL;hemiFUMARATO DE BISOPROLOL;BETABLOQUEADORES SIMPLES;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
CEFADROXILA;CEFADROXILA;CEFALOSPORINAS;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
ELFI;ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;PRATI DONADUZZI & CIA LTDA
SORISMA;;;UNITHER INDUSTRIA FARMACEUTICA LTDA.
NORTRY;CLORIDRATO DE NORTRIPTILINA;ANTIDEPRESSIVOS;LABORATORIO TEUTO BRASILEIRO S/A
aGUA BORICADA;;;LABORATORIO INDUSTRIAL FARMACEUTICO LIFAR LTDA
ACNEZIL;;;CIMED INDUSTRIA S.A
BENZAC AC;;;GALDERMA BRASIL LTDA
MESALAZINA;MESALAZINA;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
PULGE;GEFITINIBe;ANTINEOPLASICO;NATCOFARMA DO BRASIL LTDA
ATORVASTATINA CALCICA;ATORVASTATINA CALCICA;ANTILIPEMICOS;EUROFARMA LABORATORIOS S.A.
DANPEZIL;CLORIDRATO DE DONEPEZILA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;DR. REDDYS FARMACEUTICA DO BRASIL LTDA
RIOHEX 0,5%;;;RIOQUIMICA S.A.
SEDALIVE;ACIDO ACETILSALICILICO;ANALGESICOS NAO NARCOTICOS;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
BIOASSEPT GEL;;;HELIANTO FARMACEUTICA LTDA
GABAPENTINA;GABAPENTINA;ANTICONVULSIVANTES;AUROBINDO PHARMA INDUSTRIA FARMACEUTICA LIMITADA
INSUNORM N;INSULINA HUMANA;ANTIDIABETICOS;BIOCON BIOLOGICS DO BRASIL LTDA
SUP GLI TESTE;;;VISA ESTADUAL SP TESTE
XADAGO;mesilato de safinamida;ANTIPARKINSONIANOS;ZAMBON LABORATORIOS FARMACEUTICOS LTDA.
AD-MUC;MATRICARIA RECUTITA L.;;BIOLAB SANUS FARMACEUTICA LTDA
DRAMIN;DIMENIDRINATO;ANTIEMETICOS E ANTINAUSEANTES;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
INTRAFEM;VALERATO DE ESTRADIOL MICRONIZADO;ESTROGENOS SIMPLES;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
UNDECILATO DE TESTOSTERONA;UNDECILATO DE TESTOSTERONA;ANDROGENOS SIMPLES;EUROFARMA LABORATORIOS S.A.
CELESTONE SOLUSPAN;ACETATO DE BETAMETASONA, FOSFATO DISSODICO DE BETAMETASONA;GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
DIPIRALGIN;DIPIRONA;ANALGESICOS NAO NARCOTICOS;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA
MALEATO DE TRIMEBUTINA;MALEATO DE TRIMEBUTINA;ANTIESPASMODICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
OLANZAPINA;OLANZAPINA;ANTIPSICOTICOS;INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA
REBRIVE;SUGAMADEX SODICO;OUTROS PRODS NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;EUROFARMA LABORATORIOS S.A.
PROCTAN;;;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A
SINVASCOR;SINVASTATINA;ANTILIPEMICOS;LABORATORIOS BALDACCI LTDA
CLORIDRATO DE LIDOCAINA;CLORIDRATO DE LIDOCAINA MONOIDRATADA;ANESTESICOS LOCAIS;HIPOLABOR FARMACEUTICA LTDA
IODOPOLIVIDONA 10% ( SOLUCAO HIDROALCOALICA - TINTURA);;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
PARECOXIBE SODICO;PARECOXIBE SODICO;ANTINFLAMATORIOS;EUROFARMA LABORATORIOS S.A.
VEEPI;LEVETIRACETAM;ANTICONVULSIVANTES;TORRENT DO BRASIL LTDA
TANDERALGIN;CARISOPRODOL, DICLOFENACO DE SODIO, PARACETAMOL, CAFEINA;RELAXANTES MUSCULARES;CELLERA FARMACEUTICA S.A.
DERMOTIVIN BENZAC 5%;;;GALDERMA BRASIL LTDA
CLORATADD CAPS;LORATADINA;ANTI-HISTAMINICOS SISTEMICOS;EMS S/A
LEGRACE;trometamol cetorolaco;ANTINFLAMATORIOS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
MARCODINE SCRUB;;;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
VYNDAQEL;tafamidis meglumina;OUTROS MEDICAMENTOS COM ACAO NO SISTEMA NERVOSO;PFIZER BRASIL LTDA
COLIRIO NEO BRASIL;CLORIDRATO DE NAFAZOLINA, SULFATO DE ZINCO HEPTAIDRATADO;DESCONGESTIONATES OFTALMICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
ERELZI;Etanercepte;ANTINFLAMATORIOS;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
NOEX;BUDESONIDA MICRONIZADA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;EUROFARMA LABORATORIOS S.A.
PVPI HIDROALCOOLICO;;;PRODUTOS OFICINAIS AVANTE LTDA
TOBRAMICINA;TOBRAMICINA;AMINOGLICOSIDEOS;OPEM REPRESENTACAO IMPORTADORA EXPORTADORA E DISTRIBUIDORA LTDA
BROMOPRIDA;BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES;LABORATORIO TEUTO BRASILEIRO S/A
MONTELUCASTE DE SODIO;MONTELUCASTE de SODIO;ANTIASMATICOS;ACHE LABORATORIOS FARMACEUTICOS S.A
PASTA D'AGUA FLORAMAZON;;;LABORATORIO FLORA DA AMAZONIA LTDA
VALSARTANA;VALSARTANA;ANTI-HIPERTENSIVOS SIMPLES;ALTHAIA S.A. INDUSTRIA FARMACEUTICA
FIXA-FER;;;LABORATORIO FARMACEUTICO VITAMED LTDA
INTERFERON ALFA 2A HUMANO RECOMBINANTE;Interferon alfa 2a;ANTINEOPLASICO;CHRON EPIGEN INDUSTRIA E COMERCIO LTDA
MALEATO DE ENALAPRIL;MALEATO DE ENALAPRIL;ANTI-HIPERTENSIVOS SIMPLES;CIMED INDUSTRIA S.A
SOLUCAO GLICOFISIOLOGICA EQUIPLEX;CLORETO DE SODIO, DEXTROSE ANIDRA, GLICOSE;REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL;EQUIPLEX INDUSTRIA FARMACEUTICA LTDA
LABORHEX 0,5%;;;SEGMENTA FARMACEUTICA LTDA.
CLORIDRATO DE METOCLOPRAMIDA;CLORIDRATO DE METOCLOPRAMIDA monoidratado;ANTIEMETICOS E ANTINAUSEANTES;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
DIMESILATO DE LISDEXANFETAMINA;DIMESILATO DE LISDEXANFETAMINA;PSICOANALETICOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
DOCETAXEL;DOCETAXEL;ANTINEOPLASICO;GLENMARK FARMACEUTICA LTDA
ETHAMOLIN;oleato de monoetanolamina;ESCLEROSANTES E COAGULANTES;FARMOQUIMICA S/A
HEMIFUMARATO DE QUETIAPINA;hemifumarato de quetiapina;ANTIPSICOTICOS;CIMED INDUSTRIA S.A
NORF;NORFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;EMS SIGMA PHARMA LTDA
TEARFILM;CARMELOSE SODICA;OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL;GEOLAB INDUSTRIA FARMACEUTICA S/A
FLUCONAZOL;FLUCONAZOL;ANTIMICOTICOS SISTEMICOS;LABORATORIO GLOBO SA
GLICOSE BEKER;GLICOSE;NUTRIENTES PARENTERAIS;BEKER PRODUTOS FARMACO HOSPITALARES LTDA
NOOTROPIL;PIRACETAM;NEUROPSICOESTIMULANTES;SANOFI MEDLEY FARMACEUTICA LTDA.
CLORIDRATO DE LIDOCAINA;CLORIDRATO DE LIDOCAINA;ANESTESICOS LOCAIS;BIOTEC BIOLOGICA INDUSTRIA FARMACEUTICA LTDA.
GEFITINIBE;GEFITINIBe;ANTINEOPLASICO;CAMBER FARMACEUTICA LTDA
DIMEFTAL;;;GEOLAB INDUSTRIA FARMACEUTICA S/A
ESOMEPRAZOL MAGNESICO TRI-HIDRATADO;esomeprazol magnesico tri-hidratado;ANTIULCEROSOS;GERMED FARMACEUTICA LTDA
EXPECTUSS;CLORIDRATO DE AMBROXOL;EXPECTORANTES BALSAMICOS E MUCOLITICO;EMS S/A
FENAFLAN D;DICLOFENACO DE POTASSIO;ANTINFLAMATORIOS;LABORATORIO TEUTO BRASILEIRO S/A
IODOFEM;;;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA
TENOXICAM;TENOXICAM;ANTINFLAMATORIOS ANTIREUMATICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
BICARBONATO DE SODIO;;;LABORATORIO TARGET PHARMA LTDA ME
AMOXICILINA;AMOXICILINA TRI-hIDRATADA;ANTIBIOTICOS SISTEMICOS SIMPLES;RANBAXY FARMACEUTICA LTDA
ATORVASTATINA CALCICA;ATORVASTATINA CALCICA;ANTILIPEMICOS;SANOFI MEDLEY FARMACEUTICA LTDA.
CORISTINA D CONGEST;MALEATO DE BRONFENIRAMINA, CLORIDRATO DE FENILEFRINA;DESCONGESTIONANTES E ANTIALARGICOS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
IBUPROFENO;IBUPROFENO;ANALGESICOS NAO NARCOTICOS;CIMED INDUSTRIA S.A
AFSTYLA;ALFALONOCTOCOGUE;OUTROS PRODUTOS ANTI-HEMORRAGICOS;CSL BEHRING COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
ALCOOL ETILICO LBS;;;LBS LABORASA INDUSTRIA FARMACEUTICA LTDA
SEVOCRIS;SEVOFLURANO;ANESTESICOS GERAIS VOLATEIS E GASOSOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
AMOXICILINA + CLAVULANATO DE POTASSIO;AMOXICILINA TRI-hIDRATADA, CLAVULANATO DE POTASSIO;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
DOSYX;ACETATO DE DESMOPRESSINA;OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA
LIBERAFLUX;HEDERA HELIX L.;EXPECTORANTES SIMPLES;ACHE LABORATORIOS FARMACEUTICOS S.A
MINERILAX;;;LABORATORIO FARMACEUTICO CARESSE LTDA ME
OXALIPLATINA;OXALIPLATINA;CITOSTATICOS ALQUILANTES;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA
VARYLIFT;DIOSMINA, FLAVONOIDES EXPRESSOS EM HESPERIDINA;ANTIVARICOSOS DE ACAO SISTEMICA;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
ZESTEN;OLANZAPINA;ANTIPSICOTICOS;FARMOQUIMICA S/A
ZOMYLE;BORTEZOMIBE;AGENTES ANTINEOPLASICOS E IMUNOMODULADORES;VIATRIS FARMACEUTICA DO BRASIL LTDA
BUPREXIS XL;CLORIDRATO DE BUPROPIONA;ANTIDEPRESSIVOS;ACHE LABORATORIOS FARMACEUTICOS S.A
COBAVITAL;COBAMAMIDA, CLORIDRATO DE CIPROEPTADINA;ESTIMULANTES DO APETITE;ABBOTT LABORATORIOS DO BRASIL LTDA
DAPAGLIFLOZINA;dapagliflozina;ANTIDIABETICOS;EMS S/A
GASTROGEL FRESH;;;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA
SIMETICONA;;;NOVA QUIMICA FARMACEUTICA S/A
GINBRE;ZINGIBER OFFICINALE ROSCOE;;MYRALIS INDUSTRIA FARMACEUTICA LTDA
NALDECON PACK;PARACETAMOL, CLORIDRATO DE FENILEFRINA, MALEATO DE CARBINOXAMINA;ANALGESICOS NAO NARCOTICOS;RECKITT BENCKISER (BRASIL) LTDA
CITALOPRAM;CITALOPRAM;ANTIDEPRESSIVOS;ZYDUS NIKKHO FARMACEUTICA LTDA
CLOREXIDINA 2% / CHLOROHEX;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
HYPOBUP;cloridrato de bupivacaina monoidratado;ANESTESICOS LOCAIS;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMACIA LTDA
TOSILATO DE EDOXABANA;tosilato de edoxabana monoidratado;ANTICOAGULANTES;EUROFARMA LABORATORIOS S.A.
ESTOMANOL;;;LABORATORIO FARMACEUTICO VITAMED LTDA
PVPI IODOPOVIDONA 10%;;;LABORATORIO INDUSTRIAL FARMACEUTICO LIFAR LTDA
CLORIDRATO DE ONDANSETRONA;CLORIDRATO DE ONDANSETRONA DI-hIDRATADO;ANTIEMETICOS E ANTINAUSEANTES;PHARLAB INDUSTRIA FARMACEUTICA S.A.
ORNARE;CLORIDRATO DE TRAZODONA;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
ROCEFIN;CEFTRIAXONA DISSODICA HEMIEPTAIDRATADA, CLORIDRATO DE LIDOCAINA;CEFALOSPORINAS;PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.
BLENREP;BELANTAMABE MAFODOTINA;AGENTES ANTINEOPLASICOS;GLAXOSMITHKLINE BRASIL LTDA
FENOFIBRATO;FENOFIBRATO;ANTILIPEMICOS;FUNDACAO PARA O REMEDIO POPULAR - FURP
MAXITROL;DEXAMETASONA, SULFATO DE NEOMICINA, SULFATO DE POLIMIXINA B;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;NOVARTIS BIOCIENCIAS S.A
MICROVLAR;LEVONORGESTREL, ETINILESTRADIOL;ANTICONCEPCIONAIS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
SIMETICONA;;;1FARMA INDUSTRIA FARMACEUTICA LTDA
DRICS;CLORIDRATO DE HIDROXIZINA;ANTI-HISTAMINICOS SISTEMICOS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
NARILIVRE;;;VIDORA FARMACEUTICA LTDA
SOLUCAO IODADA 0,1% UNIPHAR;;;J.R.D. INDUSTRIA FARMACEUTICA LTDA.
SULFATO DE MORFINA;SULFATO DE MORFINA PENTAIDRATADO;ANALGESICOS NARCOTICOS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
ACETATO DE DESMOPRESSINA;ACETATO DE DESMOPRESSINA;OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA
BLAUBIMAX;ALBUMINA HUMANA;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA;BLAU FARMACEUTICA S.A.
CLORIDRATO DE METFORMINA;CLORIDRATO DE METFORMINA;ANTIDIABETICOS;PRATI DONADUZZI & CIA LTDA
DROGA RAIA;;;LABORATORIO INDUSTRIAL FARMACEUTICO LIFAR LTDA
HALOPERIDOL;HALOPERIDOL;NEUROLEPTICOS;NEWCOM FARMACEUTICA LTDA.
MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA;MALEATO DE DEXCLORFENIRAMINA, BETAMETASONA;ANTI-HISTAMINICOS SISTEMICOS;EMS S/A
MICOSTALAB;NISTATINA;ANTIMICOTICO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
OLEO DE AMENDOAS ADV;;;LABORATORIO TAYUYNA LTDA
DISI-TEC;DISOFENINA;AGENTES DIAGNOSTICOS RADIOATIVOS;COMISSAO NACIONAL DE ENERGIA NUCLEAR
MICOTRICIN;;;JARRELL FARMACEUTICA LTDA EPP
NISTATINA + OXIDO DE ZINCO;NISTATINA, OXIDO DE ZINCO;ANTIMICOTICOS PARA USO TOPICO;GERMED FARMACEUTICA LTDA
CYTOS;CITARABINA;ANTIMETABOLICOS ANALOGOS DA PIRIMIDINA;ACCORD FARMACEUTICA LTDA
LOTAR;BESILATO DE ANLODIPINO, losartana potassica;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;ACHE LABORATORIOS FARMACEUTICOS S.A
MUVINLAX;MACROGOL 3350, BICARBONATO DE SODIO, CLORETO DE POTASSIO, CLORETO DE SODIO;LAXANTES;LIBBS FARMACEUTICA LTDA
SATURNINNUS TALCO;;;EMPRESA DE TESTE LTDA. (VS01)
CLORIDRATO DE CIPROFLOXACINO;CLORIDRATO DE CIPROFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;NOVARTIS BIOCIENCIAS S.A
NATIGLAS;;;NATIVITA IND. COM. LTDA.
OXIGENIO MEDICINAL;OXIGENIO;;CRIOBRAS AR GAS LTDA
TRYNDA;COLECALCIFEROL;VITAMINA D E ANALOGOS;ALTHAIA S.A. INDUSTRIA FARMACEUTICA
ALUMIMAX;;;NATULAB LABORATORIO S.A
ARLIVRY;HEDERA HELIX L.;;NATULAB LABORATORIO S.A
CLORIDRATO DE CIPROFLOXACINO;cloridrato de ciprofloxacino monoidratado;ANTIBIOTICOS SISTEMICOS SIMPLES;SANOFI MEDLEY FARMACEUTICA LTDA.
FLANAX XR;NAPROXENO SODICO;ANTINFLAMATORIOS;BAYER S.A.
ASMATOSS;;;INDUSTRIA FARMACEUTICA SANTA TEREZINHA LTDA - EPP
GASLEV;;;PHARLAB INDUSTRIA FARMACEUTICA S.A.
LEVOFLOXACINO HEMI-HIDRATADO;levofloxacino hemi-hidratado;ANTIBIOTICOS SISTEMICOS SIMPLES;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
EMLA;LIDOCAINA, PRILOCAINA;ANESTESICOS LOCAIS;ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA
EPATOCARDIN;SILYBUM MARIANUM (L.) GAERTN;HEPATOPROTETORES E LIPOTROPICOS;EMS S/A
RISCARD;RANOLAZINA;OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO;BIOLAB SANUS FARMACEUTICA LTDA
SIMETICONA;;;LABORATORIO GLOBO SA
SORO ANTIBOTULINICO E;Imunoglobulina Heterologa;SOROS IMUNOPROTETORES;INSTITUTO BUTANTAN
CARBOPLATINA;CARBOPLATINA;ANTINEOPLASICO;ACCORD FARMACEUTICA LTDA
LIMONADA PURGATIVA;;;NATULAB LABORATORIO S.A
LORATADINA + SULFATO DE PSEUDOEFEDRINA;LORATADINA, SULFATO DE PSEUDOEFEDRINA;ANTI-HISTAMINICOS SISTEMICOS;GERMED FARMACEUTICA LTDA
ANFLAT;;;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA
EFAVIRENZ;EFAVIRENZ;ANTIRETROVIRAL;FUNDACAO OSWALDO CRUZ
PILULAS DE LUSSEN;ALOANA, CLORETO DE METILTIONINIO, TEOBROMINA, ATROPA BELLADONNA, Costus spicatus;ANTISSEPTICOS URINARIOS-ASSOCIACOES MEDICAMENTOSAS;LABORATORIOS OSORIO DE MORAES LTDA
VOLIG;CLORIDRATO DE ONDANSETRONA DI-hIDRATADO;ANTIEMETICOS E ANTINAUSEANTES;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
BESILATO DE ANLODIPINO;BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES;GEOLAB INDUSTRIA FARMACEUTICA S/A
DIPIRONA MONOIDRATADA;DIPIRONA;ANALGESICOS NAO NARCOTICOS;1FARMA INDUSTRIA FARMACEUTICA LTDA
EBGLYSS;LEBRIQUIZUMABE;ANTICORPOS MONOCLONAIS;ELI LILLY DO BRASIL LTDA
HPMIX;ACICLOVIR;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);ACHE LABORATORIOS FARMACEUTICOS S.A
NACTALI;DESOGESTREL;ANTICONCEPCIONAIS;LIBBS FARMACEUTICA LTDA
VALSARTANA + HIDROCLOROTIAZIDA;VALSARTANA, HIDROCLOROTIAZIDA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;ZYDUS NIKKHO FARMACEUTICA LTDA
VIOLETA GENCIANA RIOQUIMICA;;;RIOQUIMICA S.A.
BOSPULMO;Bosentana monoidratada;ANTI-HIPERTENSIVOS;SUN FARMACEUTICA DO BRASIL LTDA
